symbol,instrument_key
CANFINHOME.NS,NSE_EQ|INE477A01020
CANBK.NS,NSE_EQ|INE476A01022
CAPLIPOINT.NS,NSE_EQ|INE475E01026
CGCL.NS,NSE_EQ|INE180C01042
CARBORUNIV.NS,NSE_EQ|INE120A01034
CARTRADE.NS,NSE_EQ|INE290S01011
CASTROLIND.NS,NSE_EQ|INE172A01027
CEATLTD.NS,NSE_EQ|INE482A01020
CELLO.NS,NSE_EQ|INE0LMW01024
CENTRALBK.NS,NSE_EQ|INE483A01010
CDSL.NS,NSE_EQ|INE736A01011
CENTURYPLY.NS,NSE_EQ|INE348B01021
CERA.NS,NSE_EQ|INE739E01017
CHALET.NS,NSE_EQ|INE427F01016
CHAMBLFERT.NS,NSE_EQ|INE085A01013
CHEMPLASTS.NS,NSE_EQ|INE488A01050
CHENNPETRO.NS,NSE_EQ|INE178A01016
CHOICEIN.NS,NSE_EQ|INE102B01014
CHOLAHLDNG.NS,NSE_EQ|INE149A01033
CHOLAFIN.NS,NSE_EQ|INE121A01024
CIGNITITEC.NS,NSE_EQ|INE675C01017
CIPLA.NS,NSE_EQ|INE059A01026
CUB.NS,NSE_EQ|INE491A01021
CLEAN.NS,NSE_EQ|INE227W01023
COALINDIA.NS,NSE_EQ|INE522F01014
COCHINSHIP.NS,NSE_EQ|INE704P01025
COFORGE.NS,NSE_EQ|INE591G01017
COLPAL.NS,NSE_EQ|INE259A01022
CAMS.NS,NSE_EQ|INE596I01012
CONCORDBIO.NS,NSE_EQ|INE338H01029
CONFIPET.NS,NSE_EQ|INE552D01024
CONCOR.NS,NSE_EQ|INE111A01025
COROMANDEL.NS,NSE_EQ|INE169A01031
CRAFTSMAN.NS,NSE_EQ|INE00LO01017
CREDITACC.NS,NSE_EQ|INE741K01010
CROMPTON.NS,NSE_EQ|INE299U01018
CUMMINSIND.NS,NSE_EQ|INE298A01020
CYIENTDLM.NS,NSE_EQ|INE055S01018
CYIENT.NS,NSE_EQ|INE136B01020
DCBBANK.NS,NSE_EQ|INE503A01015
DCMSHRIRAM.NS,NSE_EQ|INE499A01024
DCXINDIA.NS,NSE_EQ|INE0KL801015
DLF.NS,NSE_EQ|INE271C01023
DOMS.NS,NSE_EQ|INE321T01012
DABUR.NS,NSE_EQ|INE016A01026
DALBHARAT.NS,NSE_EQ|INE00R701025
DATAPATTNS.NS,NSE_EQ|INE0IX101010
DATAMATICS.NS,NSE_EQ|INE365B01017
DEEPAKFERT.NS,NSE_EQ|INE501A01019
DEEPAKNTR.NS,NSE_EQ|INE288B01029
DELHIVERY.NS,NSE_EQ|INE148O01028
DELTACORP.NS,NSE_EQ|INE124G01033
DEN.NS,NSE_EQ|INE947J01015
DEVYANI.NS,NSE_EQ|INE872J01023
DHANI.NS,NSE_EQ|INE274G01010
